iter	RMSE
0	0.829485122
1	0.7926242191
2	0.7660369945
3	0.7399178357
4	0.7199301743
5	0.6992729185
6	0.6828247709
7	0.6718808045
8	0.6579068568
9	0.6508583127
10	0.6401468278
11	0.6309083419
12	0.6253312795
13	0.6162513162
14	0.610387581
15	0.606049902
16	0.601755989
17	0.5949207151
18	0.5915305731
19	0.5865836521
20	0.5834450413
21	0.5805726107
22	0.5766812942
23	0.5738231988
24	0.5706067943
25	0.5696940397
26	0.5669579279
27	0.5631256764
28	0.5617805891
29	0.5590867335
30	0.5571461928
31	0.553824806
32	0.5530177683
33	0.5515756771
34	0.5494829962
35	0.5464260388
36	0.5439058145
37	0.5414686037
38	0.5401474855
39	0.5372524276
40	0.5343396095
41	0.5326679368
42	0.5295067373
43	0.526957346
44	0.5216588763
45	0.520974036
46	0.5181616047
47	0.5162203362
48	0.5134455687
49	0.5102091743
50	0.5073462222
51	0.503876537
52	0.5016568226
53	0.4978044723
54	0.4943640867
55	0.4907319047
56	0.4860601302
57	0.4844998761
58	0.482586957
59	0.4805901987
60	0.4768001749
61	0.4739562698
62	0.4708498971
63	0.4682998092
64	0.4670631553
65	0.4660854742
66	0.4621109088
67	0.461837073
68	0.4583651325
69	0.4551255652
70	0.4525809231
71	0.4503842777
72	0.4476399769
73	0.4420182522
74	0.439055278
75	0.4375409966
76	0.4354709172
77	0.4337844708
78	0.4312877583
79	0.4286517058
80	0.4248582916
81	0.4220096271
82	0.4196939067
83	0.4163251515
84	0.4128072989
85	0.4099660726
86	0.4087133923
87	0.4070380248
88	0.4050943404
89	0.4031028438
90	0.400528286
91	0.398493421
92	0.3952678287
93	0.3930110344
94	0.3911996348
95	0.3894971895
96	0.3860017211
97	0.38431675
98	0.3821593624
99	0.3802440301
100	0.3788611933
101	0.3758764248
102	0.3733431423
103	0.372085233
104	0.3697883117
105	0.3686897065
106	0.3655281402
107	0.361931193
108	0.3605055632
109	0.3588356996
110	0.3573764714
111	0.3551118533
112	0.3503445774
113	0.3494429262
114	0.3480031139
115	0.3464870898
116	0.3448148809
117	0.3434454785
118	0.3423988355
119	0.3413868241
120	0.3396267229
121	0.3391516104
122	0.3383503388
123	0.337031426
124	0.3357438448
125	0.332719606
126	0.3304730502
127	0.3275531699
128	0.3247637379
129	0.3241543504
130	0.3229484253
131	0.321032551
132	0.3194774177
133	0.3176963898
134	0.3159973291
135	0.3155285309
136	0.3136934332
137	0.312469184
138	0.3095884401
139	0.3077714833
140	0.3059499669
141	0.3050166041
142	0.3042007239
143	0.3040232178
144	0.3032099677
145	0.3020220847
146	0.3013911098
147	0.300344323
148	0.2981499172
149	0.2970588659
150	0.29615869
151	0.2949854265
152	0.2940342389
153	0.2907681919
154	0.2896757129
155	0.2885374105
156	0.2874102168
157	0.2863420132
158	0.2851866295
159	0.2838621377
160	0.283642012
161	0.2821832867
162	0.2813448636
163	0.279537142
164	0.2788123103
165	0.2760772218
166	0.2743350669
167	0.2738379112
168	0.2729337149
169	0.2712953441
170	0.2696052834
171	0.2683550977
172	0.2673999459
173	0.2661101131
174	0.2646839677
175	0.2637538128
176	0.2622638225
177	0.2600743551
178	0.2584396829
179	0.2567441991
180	0.2562395054
181	0.2549482962
182	0.25418278
183	0.2533234363
184	0.2511266471
185	0.249466267
186	0.2486824296
187	0.2471049314
188	0.2460101299
189	0.2447103901
190	0.2433771939
191	0.2411465184
192	0.2408501777
193	0.2398687925
194	0.2386380084
195	0.2379921384
196	0.2373251825
197	0.2366288418
198	0.2349315786
199	0.2342715558
200	0.2335989646
201	0.2314402327
202	0.2313223954
203	0.230548061
204	0.2294148488
205	0.2281175923
206	0.2280309314
207	0.2272629912
208	0.226484629
209	0.2255296522
210	0.2245641449
211	0.2240186941
212	0.222077137
213	0.2211581978
214	0.219150064
215	0.2183863996
216	0.2175497258
217	0.2168578288
218	0.2158644837
219	0.2151558281
220	0.2148549048
221	0.2141102799
222	0.2135330469
223	0.2132776257
224	0.2120169065
225	0.2110613943
226	0.2099928633
227	0.2084959509
228	0.2073950394
229	0.2064976071
230	0.205611681
231	0.2044632722
232	0.2038237254
233	0.2033483761
234	0.2026697648
235	0.2021712949
236	0.2013522567
237	0.2008420371
238	0.2003179191
