iter	Passed	Remaining
0	15	3893
1	28	3697
2	41	3535
3	54	3443
4	66	3338
5	78	3303
6	92	3287
7	106	3304
8	119	3279
9	131	3248
10	145	3245
11	158	3236
12	170	3208
13	183	3183
14	196	3177
15	210	3163
16	223	3153
17	235	3124
18	248	3118
19	261	3101
20	274	3086
21	287	3074
22	301	3062
23	314	3051
24	326	3033
25	339	3015
26	352	3003
27	364	2980
28	377	2965
29	390	2956
30	403	2945
31	416	2931
32	428	2911
33	442	2900
34	455	2890
35	468	2877
36	480	2859
37	493	2843
38	506	2831
39	519	2819
40	532	2804
41	544	2786
42	556	2770
43	569	2755
44	581	2741
45	594	2725
46	604	2703
47	615	2681
48	628	2666
49	639	2645
50	650	2626
51	660	2604
52	673	2590
53	685	2578
54	698	2565
55	711	2552
56	723	2539
57	737	2529
58	748	2511
59	762	2503
60	773	2484
61	785	2470
62	797	2454
63	808	2437
64	820	2423
65	831	2405
66	844	2393
67	856	2380
68	867	2364
69	878	2347
70	889	2329
71	900	2312
72	910	2294
73	920	2276
74	932	2262
75	945	2250
76	955	2234
77	966	2218
78	978	2204
79	991	2194
80	1005	2184
81	1019	2175
82	1040	2180
83	1058	2179
84	1072	2170
85	1085	2157
86	1097	2144
87	1110	2131
88	1120	2114
89	1131	2099
90	1143	2085
91	1153	2068
92	1164	2053
93	1175	2037
94	1185	2021
95	1196	2006
96	1206	1990
97	1216	1974
98	1228	1960
99	1238	1944
100	1248	1928
101	1259	1914
102	1270	1899
103	1281	1885
104	1294	1873
105	1307	1862
106	1319	1850
107	1332	1838
108	1344	1825
109	1358	1815
110	1370	1802
111	1382	1789
112	1393	1775
113	1405	1762
114	1415	1747
115	1426	1733
116	1437	1719
117	1448	1705
118	1460	1693
119	1471	1679
120	1481	1665
121	1493	1652
122	1503	1638
123	1514	1624
124	1525	1611
125	1536	1597
126	1547	1583
127	1559	1571
128	1569	1557
129	1579	1543
130	1591	1530
131	1602	1517
132	1613	1504
133	1624	1491
134	1635	1478
135	1646	1464
136	1657	1451
137	1667	1437
138	1678	1424
139	1690	1412
140	1700	1398
141	1710	1385
142	1722	1372
143	1732	1359
144	1742	1346
145	1753	1333
146	1763	1319
147	1774	1307
148	1786	1294
149	1798	1282
150	1809	1270
151	1820	1257
152	1831	1244
153	1841	1231
154	1853	1219
155	1863	1206
156	1874	1193
157	1885	1181
158	1895	1168
159	1906	1155
160	1916	1142
161	1927	1130
162	1939	1118
163	1951	1106
164	1960	1093
165	1971	1080
166	1982	1068
167	1993	1055
168	2003	1043
169	2014	1031
170	2024	1018
171	2036	1006
172	2047	993
173	2057	981
174	2068	969
175	2079	956
176	2090	944
177	2102	933
178	2115	922
179	2128	910
180	2141	899
181	2154	887
182	2167	876
183	2181	865
184	2193	853
185	2204	841
186	2216	829
187	2227	817
188	2238	805
189	2250	793
190	2261	781
191	2272	769
192	2283	757
193	2294	745
194	2306	733
195	2316	721
196	2326	708
197	2337	696
198	2348	684
199	2358	672
200	2369	660
201	2380	648
202	2391	636
203	2402	624
204	2413	612
205	2424	600
206	2435	588
207	2446	576
208	2457	564
209	2468	552
210	2479	540
211	2490	528
212	2501	516
213	2513	505
214	2524	493
215	2535	481
216	2546	469
217	2557	457
218	2568	445
219	2579	433
220	2591	422
221	2601	410
222	2612	398
223	2623	386
224	2634	374
225	2646	362
226	2658	351
227	2668	339
228	2679	327
229	2690	315
230	2701	304
231	2712	292
232	2723	280
233	2734	268
234	2745	257
235	2756	245
236	2766	233
237	2778	221
238	2790	210
239	2803	198
240	2816	186
241	2827	175
242	2839	163
243	2849	151
244	2860	140
245	2872	128
246	2883	116
247	2893	105
248	2905	93
249	2916	81
250	2926	69
251	2939	58
252	2951	46
253	2962	34
254	2974	23
255	2984	11
256	2996	0
