UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm,Cluster
1654767795,19.75,50.86,210.0,400.0,13150,20058,939.631,1.12,1.16,7.72,1.203,0.027,True,2
1654762945,18.12011163851989,50.509330168880645,0.0014885135985591,400.0,13137,20036,939.595,0.5000223277039784,0.5100297702719712,3.41018606419982,0.5320290260151719,0.0120007442567992,False,2
1654735556,20.457,53.18,2.0,400.0,13191,20124,939.604,0.81,0.84,5.55,0.866,0.02,False,2
1654763444,17.39641155225442,51.84832491034627,25.41763795376085,400.0,13137,20036,939.6459323362486,0.8019412068207972,0.8319412068207971,5.5106766375143845,0.8596500257976776,0.0190970603410398,False,2
1654780773,24.57,53.48,1172.0,400.0,12930,19436,938.656,1.59,1.66,10.97,1.71,0.039,True,2
1655124499,26.88310437385456,45.02411093027282,25.674843790908582,424.8834374727276,12842,20752,937.5782760934636,2.006012496727313,2.080429684090951,13.78441872763664,2.1500799965091337,0.0486503124181828,False,2
1654763421,19.55,48.02,7.0,400.0,13158,20052,939.628,0.87,0.0,5.97,0.932,0.021,False,2
1654735741,18.5303716911468,53.29187058845441,32.0,400.0,13191,20123,939.6084100735336,1.0575779411856,1.0975779411856,7.293045588299202,1.1373357353041602,0.02537889705928,False,2
1654745915,20.28,52.31,1078.0,566.0,12824,19463,939.007,1.84,1.91,12.68,1.977,0.045,True,2
1654756140,-21.165,49.41,1373.0,406.0,12969,19387,938.705,1.92,2.0,13.25,2.066,0.047,True,2
1654786319,26.71,48.62,1318.0,417.0,12990,19398,938.863,1.65,1.71,11.33,1.766,0.04,True,2
1654717335,57.86,18.8,641.5,400.0,10894,15590,936.788,0.84,0.87,5.795,0.9,0.02,False,2
1654715907,24.814388548554803,43.00797054647525,0.0,400.0,13452,21293,937.4033122290288,2.2287337417342368,2.3187337417342366,15.35176932127254,2.393358199792045,0.0543122290289039,False,2
1655127837,12.329502800842576,38.59508402527725,0.0,400.0,13213,21048,937.4755730290528,1.9021628631612495,1.9721628631612496,13.081572614761,2.0406656640038245,0.0462865145264499,False,2
1654753900,9.733,52.55,1124.0,400.0,12985,19454,938.74,2.05,2.12,14.08,2.195,0.05,True,2
1654782892,26.57,49.23,1302.0,400.0,12968,19409,938.712,1.92,1.99,13.18,2.056,0.046,True,2
1654735287,22.927,48.9,45.0,400.0,13134,20008,939.576,0.67,0.69,4.6,0.7170000000000001,0.016,False,2
1654741994,-4.966,51.49,344.0,400.0,13089,19920,939.319,0.4,0.41,2.72,0.425,0.01,True,2
1654764925,20.43,56.02,345.0,400.0,13095,19866,939.67,1.27,1.32,8.73,1.361,0.031,True,2
1654750651,15.422,52.11,1149.0,403.0,12898,19440,938.754,1.6,1.67,11.03,1.72,0.039,True,2
1654775820,26.95,47.57,1130.0,468.0,12859,19443,938.916,2.21,2.29,15.19,2.369,0.054,True,2
1654786286,24.58,53.25,1272.0,407.0,12989,19406,938.87,2.14,2.22,14.7,2.292,0.052,True,2
1654766336,22.04,49.49,58.0,400.0,13237,20165,939.683,2.11,2.2,14.55,2.268,0.051,True,2
1655125951,-4.896,47.84,74.0,400.0,12802,20651,937.414,1.77,1.84,12.19,1.901,0.043,False,2
1654764396,18.65,51.31,166.0,400.0,13157,20003,939.673,0.86,0.89,5.91,0.922,0.021,False,2
1655124638,26.251,41.24,85.0,414.0,12829,20686,937.563,1.9,1.97,13.04,2.0340000000000003,0.046,False,2
1654740498,-4.852,49.53,257.0,400.0,13119,20004,939.521,0.46,0.47,3.14,0.49,0.011,True,2
1654713190,29.10170012154832,40.88083470220664,74.49149939225843,400.0,12792,20673,937.5410170012154,2.073554896683933,2.1584698906065167,14.279799270710113,2.226910386352326,0.0499659975690337,False,2
1654716503,43.14,30.3,1320.0,400.0,12986,19493,936.861,0.41,0.43,2.83,0.441,0.01,False,2
1654717171,48.79548460875184,26.85193843500736,663.040479359766,529.0,11370,16541,936.8762417325931,0.75,0.77056442390602,5.107901934684279,0.807838654343612,0.019,False,2
1654716762,54.38,19.09,548.0,669.0,12676,18747,936.894,0.86,0.89,5.93,0.924,0.021,False,2
1654715019,25.88109776830504,48.67506004262734,180.91766737712223,437.02744420762593,12769,20540,937.4216861051908,1.2008233262287775,1.2508233262287776,8.265763283601443,1.287905658851655,0.0290274442076258,False,2
1654763500,17.615453293348605,51.54391405477621,0.0,400.0,13198,20111,939.6377912891784,0.7756148996087414,0.8056148996087414,5.348074498043707,0.8334919196869932,0.019,False,2
1654737880,-5.636,53.36,61.0,400.0,13253,20151,939.681,2.2,2.29,15.16,2.364,0.053,True,2
1654764250,21.102659726867326,45.67202081939802,130.94583307996407,400.0,13165,20036,939.6268965280734,1.148472230667864,1.1953194537346503,7.907729226208442,1.2323194537346502,0.0282118057666965,False,2
1654750870,16.311,47.79,1126.0,400.0,12902,19444,938.747,1.41,1.47,9.73,1.517,0.034,True,2
1655128817,19.323,22.97,0.0,696.0,12653,18791,936.927,0.85,0.89,5.87,0.916,0.021,False,2
1654770792,22.3,58.49,630.0,530.0,12872,19629,939.193,2.68,2.79,18.47,2.881,0.065,True,2
1654715007,26.31943108798142,46.97126650455037,179.46054861143685,432.6403657409579,12764,20541,937.4039779884248,1.478421944457474,1.538421944457474,10.19254995379274,1.5891632245508267,0.0356403657409579,False,2
1654717261,54.47,19.94,303.5,400.0,11366,16272,936.846,0.84,0.87,5.77,0.908,0.021,False,2
1654713186,29.020043623508887,41.04759499371095,64.92274135762396,400.0,12789,20677,937.5395364481456,2.1549781882455576,2.2349781882455577,14.805619904142665,2.3086691536760537,0.0518841120364359,False,2
1654752372,20.79,47.72,1210.0,400.0,12927,19426,938.709,1.64,1.7,11.29,1.76,0.04,True,2
1654715635,27.8,42.26,0.0,400.0,13083,21046,937.438,1.93,2.0,13.26,2.068,0.047,False,2
1654714854,28.02,45.23,144.0,409.0,12776,20571,937.372,2.16,2.25,14.88,2.32,0.052,False,2
1655127078,17.201,48.37,152.0,418.0,12775,20562,937.351,1.67,1.73,11.49,1.791,0.04,False,2
1654747066,18.937,53.11,1187.0,525.0,12844,19426,938.887,1.8,1.87,12.41,1.935,0.044,True,2
1654739191,-8.908999999999999,54.18,19.0,400.0,13251,20247,939.681,2.5,2.59,17.19,2.68,0.061,True,2
1654745043,14.076,48.34,1038.0,604.0,12819,19472,939.073,2.25,2.34,15.47,2.4130000000000003,0.054,True,2
1654712306,27.489875834528146,42.93353629812553,39.18982810259735,428.8734479316018,12851,20748,937.5858101718974,2.022022446497832,2.102655206839823,13.896055406510795,2.167351243216013,0.0492531041367964,False,2
1654713295,28.42,43.24,108.0,400.0,12790,20633,937.531,2.03,2.11,13.95,2.175,0.049,False,2
1654774713,24.64,52.76,1193.0,534.0,12830,19426,938.895,1.69,1.75,11.61,1.81,0.0409999999999999,True,2
1654714668,25.68201632201574,48.96423907995502,160.230436801799,442.1440230011244,12763,20551,937.3138847815992,2.126543447973015,2.2162554019707668,14.656380227815603,2.286284206570992,0.0519135861993253,False,2
1655124473,26.521,39.1,52.0,426.0,12850,20738,937.558,2.26,2.34,15.53,2.422,0.055,False,2
1654784648,26.99,47.86,1348.0,400.0,12978,19393,938.71,1.82,1.89,12.52,1.953,0.044,True,2
1654735138,24.095,53.34,53.0,400.0,13116,20000,939.648,0.68,0.7,4.67,0.728,0.016,False,2
1654771519,25.17,50.87,908.0,705.0,12775,19505,939.095,2.27,2.35,15.59,2.431,0.055,True,2
1654714341,27.223435089622036,42.3304087037201,149.20880084350148,437.6731022141914,12770,20564,937.3460220021088,1.730933993673739,1.794422992619362,11.893515953607418,1.8547251928302373,0.0416977997891245,False,2
1654712517,29.12,41.24,85.0,414.0,12829,20686,937.563,1.9,1.97,13.04,2.0340000000000003,0.046,False,2
1654741556,-4.417,50.5,311.0,400.0,13105,19950,939.416,0.27,0.28,1.88,0.293,0.0069999999999999,True,2
1654768668,20.9,50.42,246.0,400.0,13133,20025,939.483,0.55,0.57,3.78,0.589,0.013,True,2
1654738442,-8.717,50.12,47.0,400.0,13242,20173,939.708,1.77,1.84,12.18,1.899,0.043,True,2
1654767307,21.97,49.26,105.0,400.0,13206,20165,939.686,2.07,2.15,14.23,2.219,0.05,True,2
1654740622,-4.559,54.57,0.0,400.0,13126,20007,939.506,0.48,0.5,3.29,0.513,0.012,True,2
1654762482,15.9643195041732,54.07563443633972,0.0,400.0,13064,19959,939.7552887865344,0.34,0.3574224269310536,2.354844853862107,0.3679689707724214,0.008,False,2
1654736119,14.191,46.04,111.0,400.0,13183,20066,939.635,1.03,1.07,7.09,1.106,0.025,False,2
1654717402,57.446972880095714,13.411342728511729,1168.638992193651,400.0,11631,17015,936.716815075792,0.8104201010559899,0.8352100505279949,5.519075378959962,0.8745965833711917,0.02,False,2
1654743620,-0.8240000000000001,51.16,885.0,685.0,12785,19509,939.07,2.11,2.19,14.5,2.261,0.051,True,2
1654744983,13.467,48.37,1015.0,607.0,12819,19479,939.045,2.1,2.18,14.45,2.254,0.051,True,2
1654771346,24.87,50.98,806.0,715.0,12777,19527,939.124,2.44,2.54,16.82,2.624,0.059,True,2
1655129587,-21.809,12.23,2097.0,667.0,12680,18429,936.695,0.83,0.86,5.545,0.9065,0.022,False,2
1655124890,17.175,40.31,52.0,400.0,12836,20728,937.503,1.88,1.95,12.95,2.019,0.046,False,2
1654717572,57.91,11.25,1385.5,400.0,13182,19294,936.709,0.8,0.82,5.41,8.956,0.2019999999999999,False,2
1654733749,24.73713141923828,50.109573898966495,13.08880913492828,400.0,12735,19763,939.8299555954326,0.247779771626793,0.3073357259521516,1.5666786297607582,0.3270692985473667,0.0564227406229661,False,2
1655128332,16.199401829651396,61.17700641439245,2263.866056782869,400.0,13399,20050,936.9947767613048,0.64,0.67,4.4204464773904375,0.6890669716085658,0.016,False,2
1654735938,16.317171788337493,47.68389924326845,68.74710327175907,400.0,13199,20112,939.6418352644856,1.0282367757253024,1.0740604532978326,7.089304785222177,1.1048075565695916,0.024747103271759,False,2
1654762710,17.29577348860264,50.76712354435024,0.0,400.0,13112,20007,939.6973943372152,0.3890849417740095,0.3990849417740095,2.660566278493397,0.4150849417740095,0.0093028313924669,False,2
1654754541,-0.4629999999999999,47.36,1333.0,406.0,12950,19394,938.688,1.99,2.06,13.67,0.0,0.048,True,2
1654734537,26.956667558298477,49.539453921897405,11.485010599722708,400.0,13070,19956,939.7505449682008,0.3842505299861353,0.4018254769875218,2.6552033919112663,0.414008024686274,0.0094850105997227,False,2
1654770086,18.81,54.47,360.0,400.0,13074,19907,939.296,0.22,0.23,1.54,0.24,0.005,True,2
1654713985,27.284132796565142,44.42048928909638,130.2249023554668,415.34941413280086,12786,20595,937.4142249023556,1.95875488222666,2.0326303704493256,13.473533199141286,2.1006926263379926,0.0477750976445331,False,2
1654762345,14.181087452439684,50.92341760193026,24.942743206434407,400.0,13013,19911,939.747490457201,0.2554771399463799,0.2654771399463799,1.7332445516353836,0.2710057683431627,0.0065095427989275,False,2
1654712249,27.35993216253952,43.42753174303092,57.45886238384873,435.8218820432989,12858,20736,937.5646437640866,2.3427396068109965,2.4327396068109963,16.105547051082475,2.510650547832646,0.0566369803405497,False,2
1654782671,27.02,47.49,1327.0,408.0,12956,19394,938.681,2.06,2.14,14.19,2.214,0.05,True,2
1654755602,-16.491,48.91,1323.0,400.0,12966,19396,938.714,2.04,2.12,14.04,2.189,0.049,True,2
1655129111,4.550757560659359,27.738706767032987,532.3717626373425,400.0,13495,20664,936.842207852967,0.7641570593406644,0.7941570593406644,5.276628237362657,0.8224942356043986,0.019,False,2
1654734593,26.834153663612632,49.181068526181065,15.153663612631885,400.0,13078,19956,939.7033541382198,0.4216926727747362,0.4416926727747362,2.908463363873681,0.4541848709423153,0.01,False,2
1655124527,27.08399595664537,39.7141937572636,44.29435549144877,413.2943554914488,12840,20731,937.5492923338142,2.1500202167731453,2.2300202167731453,14.78483907521131,2.305903283247492,0.0519415332371731,False,2
1654743055,-4.207,59.28,785.0,920.0,12662,19539,939.152,2.57,2.67,17.72,2.763,0.062,True,2
1655126280,-4.87,41.2,122.0,400.0,12789,20604,937.354,2.08,2.16,14.33,2.234,0.05,False,2
1654779065,26.98,47.62,1113.0,409.0,12903,19449,938.707,1.61,1.67,11.09,1.73,0.039,True,2
1655129833,-13.284,13.79,2294.0,400.0,13561,20080,936.689,0.89,0.93,6.15,0.958,0.022,False,2
1654750467,14.73,50.79,1203.0,424.0,12894,19433,938.781,1.6,1.67,11.04,1.722,0.039,True,2
1654749206,12.013,50.13,1168.0,431.0,12873,19440,938.792,1.77,1.84,12.2,1.902,0.043,True,2
1654772642,26.29,49.01,967.0,616.0,12807,19483,939.068,2.05,2.13,14.1,2.199,0.05,True,2
