UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
1654733331,20.0,57.36,0.0,400.0,12306,18520,939.735,0.0,0.0,0.0,0.0,0.0,False
1654733332,20.015,56.67,0.0,400.0,12345,18651,939.744,0.0,0.0,0.0,0.0,0.0,False
1654733333,20.029,55.96,0.0,400.0,12374,18764,939.738,0.0,0.0,0.0,0.0,0.0,False
1654733334,20.044,55.28,0.0,400.0,12390,18849,939.736,0.0,0.0,0.0,0.0,0.0,False
1654733335,20.059,54.69,0.0,400.0,12403,18921,939.744,0.0,0.0,0.0,0.0,0.0,False
1654733336,20.073,54.12,0.0,400.0,12419,18998,939.725,0.0,0.0,0.0,0.0,0.0,False
1654733337,20.088,53.61,0.0,400.0,12432,19058,939.738,0.0,0.0,0.0,0.0,0.0,False
1654733338,20.103,53.2,0.0,400.0,12439,19114,939.758,0.0,0.0,0.0,0.0,0.0,False
1654733339,20.117,52.81,0.0,400.0,12448,19155,939.758,0.0,0.0,0.0,0.0,0.0,False
1654733340,20.132,52.46,0.0,400.0,12453,19195,939.756,0.9,3.78,0.0,4.369,2.78,False
1654733341,20.146,52.15,0.0,400.0,12454,19230,939.757,0.89,3.71,0.0,4.289,2.73,False
1654733342,20.161,51.84,0.0,400.0,12467,19264,939.754,0.84,3.51,0.0,4.053,2.58,False
1654733343,20.175,51.62,0.0,400.0,12467,19299,939.755,0.81,3.38,0.0,3.909,2.488,False
1654733344,20.19,51.39,0.0,400.0,12469,19317,939.758,0.74,3.11,0.0,3.588,2.2840000000000003,False
1654733345,20.204,51.17,0.0,403.0,12468,19338,939.742,0.71,2.96,0.0,3.419,2.176,False
1654733346,20.219,50.99,0.0,400.0,12475,19362,939.741,0.64,2.66,0.0,3.077,1.959,False
1654733347,20.233,50.86,0.0,400.0,12480,19382,939.758,0.6,2.52,0.0,2.908,1.851,False
1654733348,20.248,50.66,0.0,400.0,12477,19400,939.764,0.53,2.23,0.0,2.58,1.642,False
1654733349,20.262,50.49,0.0,400.0,12481,19422,939.761,0.5,2.1,0.0,2.423,1.5419999999999998,False
